Age,Gender,Occupation,Years_Driving,Annual_Mileage,Claims_Frequency,Claim_Severity,Traffic_Violations,Vehicle_Age,Vehicle_Type,Location,Risk_Level
57,Female,Driver,6,19993,1,817.6305089018957,2,17,Sedan,Urban,Low
21,Male,Teacher,25,29682,1,68.45116943932499,1,2,Sedan,Urban,Low
19,Male,Doctor,42,8591,3,887.4606298752013,2,3,SUV,Rural,Low
23,Male,Engineer,2,4119,0,67.21128317085949,3,10,Sedan,Urban,Low
59,Female,Teacher,7,18784,1,551.0995137352867,1,19,SUV,Rural,High
21,Female,Student,17,27167,0,434.4166315851074,1,9,Motorcycle,Rural,Low
46,Male,Doctor,35,25583,0,253.53567504489195,3,18,Truck,Rural,Moderate
35,Male,Engineer,20,26559,1,373.9246799199145,2,3,Sedan,Rural,Moderate
43,Male,Driver,44,20981,1,0.5242414610258312,1,9,SUV,Urban,Moderate
61,Female,Doctor,2,27326,0,391.7005904623751,1,11,Motorcycle,Urban,Moderate
51,Female,Engineer,7,22873,0,81.65304098714286,1,9,Sedan,Rural,Low
27,Male,Driver,32,4511,0,2542.13973192135,1,5,Sedan,Urban,Low
53,Female,Engineer,49,4828,0,77.24059065704857,1,18,Motorcycle,Urban,Moderate
31,Female,Driver,19,17949,1,3059.863149058055,0,12,Truck,Rural,Moderate
48,Female,Driver,12,8651,0,676.14520622471,1,17,Sedan,Urban,Moderate
65,Female,Driver,9,27896,0,719.8467741412472,0,17,Motorcycle,Urban,Moderate
32,Male,Engineer,27,10092,1,1551.7622872540962,1,16,SUV,Urban,Moderate
25,Female,Driver,14,11370,0,1188.6892372211066,0,14,Sedan,Rural,Low
31,Female,Doctor,2,12784,0,270.57735954245356,1,9,Truck,Urban,Moderate
40,Male,Student,21,3771,1,25.796229121292857,1,13,Truck,Urban,Low
57,Male,Student,4,7777,1,1507.103411740963,1,3,Motorcycle,Rural,Low
38,Female,Driver,21,1113,0,138.96647794857563,2,5,Truck,Urban,Low
33,Female,Student,48,1531,1,912.2220913375996,0,8,SUV,Rural,Low
62,Male,Student,22,10714,0,2858.2646818465796,1,3,Motorcycle,Rural,Low
35,Male,Driver,49,4410,0,797.2717711594461,2,16,Motorcycle,Rural,High
64,Male,Driver,2,10236,0,336.2748181184151,1,4,Truck,Rural,Low
41,Female,Doctor,17,23223,1,196.9911782464498,1,9,Truck,Urban,Low
43,Female,Teacher,19,25608,1,27.319719054566644,3,7,Motorcycle,Rural,Moderate
42,Male,Engineer,40,9324,0,976.1600165807489,0,18,SUV,Urban,Moderate
62,Female,Driver,24,12159,0,816.4432905975224,0,17,SUV,Rural,Low
58,Male,Driver,20,2726,0,619.3873976381392,2,6,SUV,Urban,Low
46,Female,Student,38,22454,1,215.38798991374787,1,10,SUV,Rural,Low
32,Male,Doctor,12,9217,0,270.01488258072004,2,5,SUV,Rural,Low
62,Male,Student,25,3648,0,3182.7609640128726,0,15,Motorcycle,Rural,Low
18,Female,Driver,23,13832,1,20.615127401537638,1,2,Motorcycle,Rural,Low
42,Female,Driver,34,10453,0,451.66821890427116,2,15,Sedan,Rural,Low
24,Female,Student,32,3065,0,39.58578497394916,1,9,Truck,Rural,Moderate
26,Female,Driver,24,28921,0,212.66036634715465,0,6,SUV,Rural,Low
41,Female,Teacher,42,1933,0,2705.0988620033927,2,4,Truck,Urban,Low
18,Female,Engineer,25,2050,0,162.00468096104976,0,14,Motorcycle,Rural,Low
61,Male,Engineer,3,26392,0,918.2559327494818,1,9,Sedan,Rural,Low
25,Female,Engineer,25,23414,1,426.0940396668011,1,1,Motorcycle,Rural,Moderate
41,Male,Teacher,28,29779,0,1002.5245630766664,1,19,Sedan,Urban,Moderate
28,Male,Driver,12,8116,1,1911.5087317814516,1,10,Motorcycle,Rural,High
68,Female,Student,26,22427,0,337.63508699314247,0,18,SUV,Rural,Low
34,Male,Doctor,48,26313,0,81.88613221599415,2,19,Truck,Urban,Low
25,Male,Driver,44,23851,1,228.38211285318266,4,6,Truck,Urban,Moderate
52,Female,Teacher,8,12106,2,578.19519472122,1,3,Sedan,Rural,Low
52,Female,Teacher,5,20986,1,723.7380710437145,2,18,Sedan,Rural,Low
50,Female,Engineer,11,7878,0,2845.5082428408873,2,10,Motorcycle,Urban,Moderate
22,Male,Driver,42,1792,0,16.23302381341126,0,4,Sedan,Rural,Low
59,Female,Engineer,35,12367,0,1417.2777187719887,0,8,SUV,Urban,Moderate
56,Female,Doctor,27,6963,1,75.27298142753257,2,16,Motorcycle,Urban,Low
58,Female,Engineer,41,10547,0,81.12557453324267,0,2,SUV,Urban,Low
45,Female,Doctor,44,2385,3,1061.6989232217622,0,19,Sedan,Rural,Low
24,Male,Teacher,38,29568,0,2396.154911542146,4,15,Truck,Urban,Low
26,Female,Engineer,19,29960,0,339.25096150700136,2,8,SUV,Urban,Moderate
25,Male,Engineer,48,18444,0,313.76075637978744,0,17,Motorcycle,Rural,Low
29,Female,Student,32,10563,0,961.5805667882356,0,13,Truck,Urban,Moderate
51,Male,Teacher,46,25307,0,1497.363722890311,2,3,Sedan,Rural,Moderate
50,Male,Student,28,5138,2,2032.245941294589,0,10,SUV,Urban,Moderate
65,Male,Doctor,36,18533,1,287.290347299404,2,13,Sedan,Rural,Low
40,Female,Doctor,18,15344,0,1347.8400150165269,3,11,SUV,Rural,Low
41,Male,Teacher,10,8693,1,367.0313735232206,0,1,Truck,Rural,Low
54,Female,Doctor,32,12394,1,787.044583442217,0,14,Motorcycle,Rural,Low
52,Female,Teacher,18,24876,1,211.7740192092666,3,2,Sedan,Urban,Low
61,Female,Doctor,12,7327,1,157.82645531707115,0,12,Truck,Urban,Low
57,Female,Driver,8,4353,0,2738.0489496737414,1,4,Truck,Urban,Low
39,Female,Engineer,33,28518,0,792.3030966275757,2,12,Motorcycle,Urban,Low
44,Male,Driver,46,14364,0,4.600111299837166,2,1,Motorcycle,Urban,Very High
52,Female,Teacher,38,23353,2,1577.1476213625867,1,10,Truck,Rural,Low
18,Male,Teacher,14,16205,0,1173.9938056911035,0,4,SUV,Urban,Low
52,Male,Driver,2,5628,1,394.3513027364649,0,2,Truck,Rural,Moderate
54,Male,Engineer,9,20832,0,623.554482990303,1,13,Truck,Rural,Moderate
64,Male,Engineer,44,6327,0,597.6179289583549,1,8,SUV,Urban,Moderate
31,Male,Student,5,28623,0,321.2660127899381,1,2,Sedan,Urban,Moderate
20,Male,Doctor,34,28286,0,3940.270233172941,1,3,Truck,Urban,Low
18,Male,Student,19,27076,0,785.0104896600677,1,15,SUV,Urban,Low
22,Female,Engineer,7,15281,1,2275.7429966163268,1,7,Sedan,Urban,Moderate
43,Male,Driver,39,22433,0,880.3334766215673,1,10,SUV,Urban,Low
31,Female,Doctor,42,17452,0,1171.7738772361758,1,11,SUV,Urban,Low
56,Male,Driver,17,11058,1,29.987610948257572,2,14,SUV,Rural,Low
44,Male,Student,26,27524,0,717.0681172272774,3,19,Sedan,Urban,Moderate
26,Male,Teacher,46,13093,0,1277.5360429342652,2,14,Sedan,Rural,Very High
32,Male,Driver,27,20892,0,129.95270461746696,1,1,Truck,Urban,Low
32,Female,Student,43,17684,0,1134.213443442144,0,7,Truck,Rural,Moderate
43,Female,Student,28,29698,1,88.03614945325057,1,5,Truck,Rural,Moderate
59,Female,Student,20,16987,1,1645.183842251508,0,7,Truck,Rural,Low
30,Male,Teacher,6,28553,1,3806.935334921551,0,13,Truck,Urban,Moderate
68,Male,Teacher,8,24181,0,985.4655873636176,0,7,Sedan,Rural,Moderate
49,Male,Teacher,32,19984,0,80.21043892142586,1,19,Motorcycle,Rural,Moderate
56,Female,Doctor,19,19537,0,883.710889559474,0,13,SUV,Urban,Moderate
66,Male,Teacher,32,15907,0,1350.3987075382977,3,16,Truck,Rural,Moderate
69,Female,Teacher,19,22289,0,2704.496466475428,1,15,SUV,Rural,Low
49,Female,Teacher,24,13921,0,46.52435944027274,1,19,SUV,Urban,High
21,Male,Driver,24,21402,0,1491.8429336269905,0,7,Truck,Urban,High
47,Male,Teacher,17,15026,0,142.23395822932514,4,5,SUV,Urban,Moderate
54,Female,Doctor,18,4082,1,1563.4439264502585,2,14,SUV,Urban,Low
40,Female,Student,12,8074,2,2195.6184407177316,0,16,Motorcycle,Urban,Low
56,Female,Driver,41,18623,0,1975.0298623426293,3,11,SUV,Urban,Low
62,Male,Engineer,23,28509,0,1058.0650253603017,2,11,SUV,Rural,Low
32,Male,Teacher,48,11560,0,694.6796117336676,2,12,Motorcycle,Rural,Low
60,Male,Student,18,1459,0,2076.1406946801235,1,13,SUV,Urban,Moderate
46,Male,Student,16,29604,0,732.0361700671233,0,8,SUV,Urban,Moderate
53,Male,Driver,16,25366,0,210.85823576169273,1,6,SUV,Rural,Low
30,Male,Engineer,36,20010,0,2861.779031744461,2,2,SUV,Rural,Low
49,Female,Doctor,23,21147,0,467.27241820357943,0,10,SUV,Rural,High
24,Female,Student,22,24404,0,979.0948330771015,1,2,SUV,Rural,Moderate
68,Female,Student,39,3801,0,222.0763809358681,1,11,Sedan,Urban,Low
39,Male,Student,33,29831,0,117.1403327246725,1,5,Motorcycle,Rural,Low
45,Female,Student,24,17847,0,800.8180301379292,2,6,Sedan,Urban,Moderate
19,Male,Driver,20,1997,0,808.7702876678044,4,16,Sedan,Urban,Low
59,Male,Engineer,33,23025,2,461.62655828936,0,10,Motorcycle,Urban,Low
62,Female,Student,31,7384,1,373.58647348066927,0,14,Motorcycle,Rural,Moderate
23,Male,Doctor,40,14223,0,468.68208292876926,1,6,SUV,Rural,High
45,Female,Doctor,8,16299,0,1585.4557954176585,0,5,Truck,Urban,Moderate
45,Female,Teacher,10,12198,1,442.7539639034545,0,10,Truck,Rural,Low
61,Male,Student,1,2678,0,2543.035976547664,0,12,Sedan,Urban,Low
61,Female,Student,21,1864,0,119.86798391621056,1,17,SUV,Urban,Low
37,Female,Student,25,10382,1,2682.0359472291584,2,16,Truck,Rural,Low
47,Female,Student,32,25120,0,1169.725996769429,1,10,Motorcycle,Urban,Low
28,Female,Student,46,3697,0,422.1295805627964,2,17,Motorcycle,Rural,Moderate
45,Male,Doctor,46,27950,1,6.878828259551274,2,2,Truck,Rural,Low
42,Female,Engineer,10,26440,1,1621.6705368968421,0,2,SUV,Rural,Moderate
56,Female,Engineer,48,28152,0,3484.3875840808496,0,14,SUV,Rural,Moderate
50,Female,Teacher,9,13107,0,4042.0952969577434,0,4,Sedan,Rural,Very High
18,Male,Doctor,20,3926,0,550.6155299561042,0,12,Motorcycle,Urban,Low
44,Female,Student,48,16735,1,73.1132007580746,0,2,SUV,Urban,Low
69,Male,Engineer,20,15223,2,376.5188027379019,1,14,Motorcycle,Rural,Moderate
30,Female,Driver,40,8542,1,370.68727399958055,1,18,Sedan,Rural,Low
58,Female,Driver,7,5429,0,108.00984641891553,0,9,SUV,Rural,Low
20,Female,Driver,11,16362,0,743.8440161624604,0,8,SUV,Rural,Moderate
56,Male,Student,21,24794,0,927.8029399959046,1,7,Truck,Rural,Low
23,Male,Student,38,14931,0,1304.9690731249127,0,13,Motorcycle,Rural,Low
25,Male,Teacher,47,8218,0,52.36096368638613,0,2,SUV,Urban,Low
44,Male,Teacher,19,24409,2,322.13181544075763,0,2,Sedan,Rural,Low
26,Male,Teacher,46,3397,0,438.820519368902,3,16,Motorcycle,Rural,Moderate
54,Male,Driver,15,19605,0,2227.861364561264,1,16,SUV,Urban,Low
50,Female,Student,6,15451,0,2316.603001777118,1,18,Motorcycle,Rural,Low
68,Male,Driver,10,6814,0,301.0670720466607,0,2,Sedan,Rural,High
59,Female,Teacher,46,23888,2,668.1249781869689,2,7,Truck,Rural,Moderate
61,Male,Student,16,8522,0,552.9616115764917,2,7,Truck,Urban,Low
41,Male,Doctor,45,23169,0,748.0418513455407,2,17,Sedan,Rural,Low
32,Male,Engineer,11,27358,0,337.0330927981606,0,12,Motorcycle,Rural,Moderate
49,Female,Engineer,35,23603,0,621.6112871785607,1,13,Sedan,Urban,Low
49,Male,Teacher,8,21382,6,157.08713110505457,2,5,Truck,Rural,High
41,Male,Driver,28,20187,0,1236.3253816141869,0,15,Motorcycle,Urban,Low
58,Female,Doctor,3,16588,0,461.62359276481254,0,2,Motorcycle,Urban,Moderate
69,Female,Student,2,13359,0,781.7963188948553,2,6,SUV,Rural,Low
66,Female,Driver,14,16762,0,927.8604474175604,2,4,SUV,Rural,Low
66,Female,Teacher,29,16577,1,1811.0994644689442,3,13,SUV,Rural,Moderate
69,Male,Driver,47,21931,0,85.2957967303326,0,2,SUV,Urban,Low
29,Female,Teacher,3,28534,0,659.20991846269,1,5,SUV,Urban,Moderate
56,Male,Engineer,1,10970,0,2244.9964190392893,1,8,Sedan,Urban,Low
19,Male,Engineer,15,7510,0,400.17538762693505,0,16,Sedan,Rural,Very High
20,Female,Driver,20,26401,0,587.9337855227851,1,7,Motorcycle,Urban,Low
66,Male,Doctor,22,21045,0,88.9125194043159,0,3,Motorcycle,Urban,Low
54,Female,Student,34,16005,0,1388.9913810442872,0,9,SUV,Rural,Low
66,Male,Teacher,33,16919,0,88.85479463958278,0,13,Truck,Urban,Moderate
34,Female,Student,9,12561,0,996.8991670744795,1,2,Truck,Rural,Low
66,Female,Engineer,3,28671,1,468.79652878059295,2,19,Motorcycle,Rural,Low
19,Female,Doctor,2,11349,0,412.7307158748626,2,11,Motorcycle,Rural,Low
19,Female,Doctor,4,17435,1,880.691215375506,0,10,Motorcycle,Urban,High
45,Female,Student,16,7058,0,838.5643256222893,2,11,SUV,Urban,Moderate
40,Female,Engineer,33,12553,1,519.9554714891593,1,17,Motorcycle,Rural,Moderate
54,Male,Student,9,4515,0,326.20749478677345,0,17,SUV,Rural,Low
49,Male,Driver,40,4330,2,709.6196294980906,0,3,Sedan,Urban,Low
50,Male,Doctor,38,24875,2,310.7495588010906,3,12,Motorcycle,Urban,High
18,Female,Doctor,18,2674,1,108.29963984070048,3,3,Truck,Urban,Low
36,Male,Driver,16,23412,0,1605.2091029805406,0,5,SUV,Rural,Low
19,Female,Engineer,8,12057,1,1211.702304088139,2,6,Sedan,Rural,Low
61,Male,Doctor,23,18745,3,88.1221348127315,4,10,Sedan,Urban,Low
43,Male,Teacher,36,9978,0,177.46011725931098,1,11,SUV,Rural,High
49,Female,Teacher,3,17939,1,105.54573225542703,1,19,SUV,Rural,Low
23,Male,Engineer,15,16264,0,1564.0355049973257,1,11,Sedan,Rural,High
49,Male,Driver,38,27615,1,1482.2365382978012,0,8,Sedan,Rural,Low
21,Male,Student,33,15594,0,524.3071257234744,0,9,Sedan,Rural,Low
28,Female,Engineer,18,25176,0,1722.6110253128256,1,3,SUV,Rural,Moderate
34,Male,Student,23,10954,0,3648.0794811147152,1,1,Motorcycle,Urban,Low
55,Female,Engineer,43,3112,0,3522.2497819519394,3,2,Sedan,Urban,Low
41,Male,Teacher,3,19594,0,3955.842788109551,4,2,Sedan,Urban,Low
22,Male,Driver,30,16523,0,1873.3037229479164,2,3,Truck,Rural,Moderate
69,Male,Teacher,45,2701,1,244.60721209916034,0,18,Motorcycle,Urban,Moderate
51,Male,Driver,17,27662,1,59.132389008879095,0,17,SUV,Urban,Moderate
23,Female,Student,32,3712,2,1669.5057784862067,0,12,Sedan,Urban,Moderate
39,Male,Engineer,46,23847,1,368.95539516608875,1,6,SUV,Rural,Low
28,Female,Doctor,7,27983,0,412.11783998851377,2,7,Motorcycle,Urban,Low
65,Female,Doctor,39,3316,2,75.79696609975053,1,17,Motorcycle,Rural,Low
33,Male,Driver,14,15659,1,1254.253749808765,0,9,Motorcycle,Rural,Low
50,Male,Driver,15,7469,1,563.4485615219916,0,12,Truck,Urban,Low
26,Female,Teacher,44,2610,1,228.48969678143357,0,14,Sedan,Urban,Low
23,Female,Doctor,12,21736,2,1056.8782859752907,1,11,Motorcycle,Rural,Moderate
33,Male,Teacher,8,7343,1,3906.2428426400074,2,4,SUV,Urban,Very High
46,Male,Student,16,16797,0,689.9529103829442,0,19,Truck,Rural,Low
20,Male,Doctor,41,22089,0,932.3444000829921,2,6,Motorcycle,Urban,Moderate
37,Male,Student,34,10319,0,177.7607965958168,0,19,Motorcycle,Rural,Low
53,Male,Engineer,46,22875,0,175.4936612156963,0,16,SUV,Urban,Low
36,Female,Teacher,24,10096,0,612.9347991226545,0,16,Truck,Urban,Low
43,Male,Driver,29,9355,0,1862.7853159357971,0,4,SUV,Urban,Moderate
20,Male,Doctor,16,10328,0,2398.5457180514413,2,5,Sedan,Rural,Low
36,Female,Teacher,5,5710,0,1026.528907849352,0,10,Motorcycle,Rural,Low
37,Male,Driver,5,3025,2,447.09949636565705,3,5,SUV,Rural,Low
49,Male,Engineer,30,1105,0,1386.451558511174,0,9,Truck,Urban,Moderate
24,Female,Doctor,5,21843,0,345.2270079618899,3,18,Sedan,Urban,Low
69,Male,Student,43,20476,0,247.8885544901367,1,6,Motorcycle,Rural,Low
58,Female,Engineer,13,11213,1,1586.833074783038,1,14,Motorcycle,Rural,Low
50,Male,Driver,35,10344,0,1391.5803461478597,1,16,Truck,Rural,Low
57,Male,Doctor,49,16842,1,2137.9641617904686,2,3,SUV,Rural,Moderate
56,Male,Doctor,25,1698,2,859.1637751804278,1,1,SUV,Urban,Low
35,Female,Engineer,14,29443,1,2270.259084681135,0,6,Motorcycle,Rural,Low
57,Female,Doctor,44,12462,1,26.835229584577103,1,1,Sedan,Urban,Low
18,Female,Driver,46,9938,1,292.64885451835625,0,6,SUV,Rural,Low
28,Female,Engineer,26,7071,0,1631.962357171852,0,5,Truck,Rural,Low
45,Male,Student,18,23123,1,551.0543798534948,2,12,Motorcycle,Urban,Low
42,Female,Engineer,20,10152,2,273.6332935589149,0,6,Sedan,Rural,Low
67,Female,Engineer,34,20875,0,1590.3172556773268,2,8,Truck,Rural,Moderate
40,Female,Student,7,4297,1,1727.4769176271027,0,19,Sedan,Urban,Low
48,Male,Driver,47,20361,1,609.2777984378466,0,5,Sedan,Urban,High
47,Male,Teacher,10,1208,0,628.4715645216648,1,15,Motorcycle,Rural,Low
59,Female,Teacher,15,20700,0,1518.392423509339,0,14,Sedan,Rural,Moderate
52,Female,Student,17,22791,0,1475.4795854831295,0,16,SUV,Rural,Moderate
24,Male,Driver,11,8233,0,2014.1328463496616,1,6,SUV,Rural,Low
33,Female,Doctor,34,2891,0,1037.1389212769477,2,17,Sedan,Urban,Moderate
43,Female,Student,27,26752,1,205.6615799785887,2,17,Motorcycle,Urban,Moderate
65,Female,Teacher,21,15826,0,797.8696856605316,3,16,Motorcycle,Rural,Moderate
69,Female,Driver,31,4506,0,481.8894463324777,1,1,Sedan,Urban,Moderate
66,Male,Engineer,4,3039,0,27.41139798253218,0,18,SUV,Urban,Low
19,Male,Driver,41,20673,0,218.78165581842947,4,4,SUV,Rural,Low
18,Male,Driver,49,10644,1,230.1406686035114,1,3,Motorcycle,Rural,Low
65,Female,Teacher,17,7645,0,85.92449242134263,2,3,Motorcycle,Urban,Moderate
29,Female,Teacher,49,22145,1,603.8909222900642,0,13,Truck,Rural,Low
22,Male,Doctor,48,29436,2,709.3478888218546,2,4,Truck,Rural,Low
54,Male,Doctor,20,2617,0,415.5333489104829,0,11,Sedan,Urban,Moderate
49,Male,Student,25,9186,0,531.6394457543767,2,5,Sedan,Rural,Moderate
26,Female,Engineer,40,1434,0,797.3798712243799,1,2,Motorcycle,Urban,Low
58,Male,Doctor,23,11519,0,128.38293753635529,3,6,Motorcycle,Urban,Moderate
52,Female,Teacher,15,19030,0,826.1788294282529,0,5,Truck,Urban,Low
36,Female,Driver,33,12355,0,1237.6157341947521,0,1,Sedan,Rural,Low
65,Male,Student,19,24051,1,2077.5393118482334,1,11,Truck,Urban,Low
33,Male,Doctor,15,15328,1,358.9256288191893,2,6,Truck,Urban,Low
20,Female,Driver,41,6258,0,1375.9855280008137,2,17,Truck,Urban,Low
37,Male,Driver,5,13954,0,931.4572736623704,2,11,SUV,Rural,Moderate
41,Male,Doctor,16,8190,0,698.7609721684402,2,7,Sedan,Rural,Low
50,Female,Engineer,45,18824,1,2520.1883450888076,0,16,Truck,Rural,Low
41,Female,Engineer,48,23479,1,967.6017333009702,2,5,SUV,Urban,Moderate
69,Female,Student,32,24259,1,455.81582896111104,0,7,SUV,Urban,High
28,Female,Engineer,22,21827,0,1248.0393903006975,2,3,Sedan,Urban,Low
66,Female,Student,43,16596,0,3215.8052072005216,2,2,Truck,Rural,Moderate
25,Male,Teacher,32,22244,0,2503.2137402131175,1,1,Motorcycle,Urban,Moderate
53,Female,Doctor,13,26509,0,3925.605362743612,0,8,Sedan,Urban,Low
55,Female,Driver,38,13470,2,99.91252694440007,1,7,Truck,Rural,Low
57,Female,Student,26,11747,0,585.986943279821,1,10,Truck,Urban,Low
37,Male,Engineer,17,26722,0,566.8481376481562,0,14,SUV,Urban,Low
52,Female,Student,5,13188,1,484.20246565112956,0,9,Truck,Urban,Low
65,Female,Student,49,8713,0,196.6122756407042,0,11,SUV,Urban,Low
42,Female,Engineer,33,1380,0,1784.976621092715,2,1,Truck,Rural,Moderate
52,Male,Engineer,27,10016,1,1118.035906725056,1,19,Motorcycle,Urban,Low
42,Female,Doctor,5,27114,0,931.3800518525635,1,14,Sedan,Rural,Low
46,Female,Driver,37,24557,0,592.1316721599059,0,18,Truck,Rural,Low
35,Female,Doctor,7,12567,0,491.8763021731528,0,12,SUV,Urban,Moderate
63,Male,Doctor,48,2637,0,1543.941625007487,1,10,SUV,Urban,Low
35,Male,Engineer,18,13479,2,748.3113102104757,2,18,SUV,Urban,Moderate
19,Male,Engineer,31,24927,1,935.6059282841472,1,3,SUV,Urban,Low
52,Male,Driver,6,1524,2,105.36408835489831,1,4,SUV,Rural,Moderate
33,Female,Student,2,20491,0,637.6812995770981,0,9,SUV,Rural,Low
58,Female,Doctor,13,25526,0,139.62422053949305,1,12,Sedan,Urban,Low
53,Male,Driver,42,2093,2,55.33693188013586,1,9,Truck,Rural,Moderate
50,Male,Doctor,11,1104,1,1168.9114274865415,2,9,Sedan,Rural,Moderate
21,Female,Student,26,19123,0,321.3267367617049,1,16,Sedan,Rural,Low
